회관_ID,주소,좌표,공유_회중_수,함께_사용하는_회중_목록
"57513fa5-e97f-5b97-b2bf-2f4d7ea37921","제주 서귀포시 안덕면 일주서로 1918 (덕수리 698-1)","33.251097, 126.313002",2,"제주서귀포대정 (📞 010-9369-0874) | 제주서귀포중문 (📞 064-792-2635)"
"102badc4-73eb-5e3f-9c54-e79bcfb46b15","제주 제주시 한림읍 명월성로 302 (협재리 452-2)","33.382117, 126.263084",1,"제주제주한림 (📞 (064)796-1513)"
"6a98013d-04be-5af3-8799-c3d98c017d63","제주 서귀포시 현청로 44 (서홍동 2000)","33.26485, 126.554969",4,"제주서귀포동부 (📞 0647628689) | 제주서귀포중앙 (📞 064-732-1914) | 제주서귀포중국어 (📞 010-3339-1935) | 제주서귀포서부 (📞 064-732-1914)"
"e7fbd9aa-14b8-5cf5-ae03-425563a0b009","제주 서귀포시 성산읍 온평관전로 38 (온평리 570-1)","33.411815, 126.901979",2,"제주서귀포성산포 (📞 010-5860-0314) | 제주성산포중국어 (📞 064-784-1914)"
"062dac86-4952-5e93-8f16-35e0284cb732","제주 제주시 애월읍 수산곰솔길 115 (구엄리 964)","33.471907, 126.382371",4,"제주서부중국어 (📞 010-9313-0259) | 제주제주외도 (📞 010-2757-2602) | 제주제주애월 (📞 064-712-1204) | 제주제주하귀 (📞 010-5057-0001)"
"d201f806-8265-5e5a-bbad-01612bf21254","제주 제주시 조천읍 신북로 338-14 (조천리 791)","33.539867, 126.647294",1,"제주제주조천 (📞 064-784-5509)"
"6bf884a8-ab62-5b1c-ba81-56ce3fdab49d","제주 제주시 삼봉로 222-1 (도련일동 1004)","33.50244, 126.593807",1,"제주제주삼양 (📞 064-726-1914)"
"1eef669d-3d1b-5c00-81df-9c35f87db1cf","제주 제주시 중앙로 681-1 (아라일동 623-5)","33.463943, 126.55014",4,"제주제주북부 (📞 010-6814-1074) | 제주제주서부 (📞 0647021931) | 제주제주동부 (📞 064-702-1931) | 제주수어 (📞 01066491914)"
"cc9263d5-543a-564a-b7d5-9ce27a828616","제주 제주시 1100로 2977 (노형동 288-1)","33.452485, 126.486112",5,"제주중국수어 (📞 010-4018-0326) | 제주동부중국어 (📞 010-4477-8387) | 제주제주노형 (📞 050-6778-8831) | 제주제주연동 (📞 010-9114-8200 (Eng 010-2474-3651)) | [집단] 제주제주연동영어"
"a367926b-10da-5d4b-92c8-34bb4a97f3cc","제주 제주시 구좌읍 일주동로 3368-22 (하도리 2665-1)","33.517296, 126.875134",1,"제주제주구좌 (📞 010-4852-8824)"
"3419b567-268a-5ec6-8b8b-5cd38aba0ac9","전남 진도군 진도읍 교동5길 55 (교동리 614)","34.485056, 126.25645",2,"전남진도 (📞 061 544 2416) | [집단] 전남진도신할리즈어"
"db998c66-872a-5895-98ab-3fd253dfe23c","8170324 長崎県対馬市美津島町久須保 567-53","34.278265, 129.366013",1,"長崎県対馬市美津島 (📞 090-5783-4023)"
"043e3b99-9104-598f-9e23-e45d8e3939b1","전남 영암군 삼호읍 대불산단5로 5-15 (난전리 465-1)","34.747075, 126.447473",1,"전남삼호 (📞 01047919585)"
"2335afdb-a0db-56cf-ad62-d628e2c4a1e6","전남 목포시 산정로199번길 26, A동 (산정동 225-105)","34.804506, 126.387562",2,"전남목포중앙 (📞 061-278-1914) | 전남목포죽교 (📞 061-278-1914)"
"528a99e9-9b02-53da-bf6e-30cc61d21f0d","전남 목포시 산정로 199번길 24 B동 (산정동 225-89)","34.805042, 126.388555",3,"전남목포서부 (📞 061 278 1914) | 전남목포북부 (📞 070-4334-2297) | 전남목포수어 (📞 010-2930-1793)"
"babaa6eb-1fb4-5a57-bfc3-dda0210f2136","전남 해남군 황산면 명량로 1461 (남리리 16-2)","34.574141, 126.431452",1,"전남황산 (📞 010 2492 0909)"
"b897e318-07b1-5b52-a647-0b6db72ae846","전남 무안군 삼향읍 종월길 15 (임성리 969-1)","34.823093, 126.444725",2,"전남목포동부 (📞 061-285-1914) | [집단] 전남목포동부중국어"
"2f198592-93a6-572e-83b2-ffcff1ab7f79","전남 해남군 해남읍 남부순환로 208 (남외리 357-1)","34.569206, 126.591824",1,"전남해남 (📞 01024060333)"
"342ccc97-baf1-562d-8567-af328f64948e","전남 강진군 강진읍 향교로 31 (동성리 247-1)","34.642271, 126.77523",2,"전남강진수어 (📞 061-433-9353) | 전남강진 (📞 010-6293-2800)"
"9706a90d-c4d2-589b-b08d-398f76ee17ef","전남 영암군 영암읍 새동네길 13 (교동리 228-5)","34.795432, 126.69",1,"전남영암 (📞 061-473-1357)"
"dcdd4102-5527-50ea-ab2a-11b0a01e8635","전남 고흥군 고흥읍 남계리 48","34.621344, 127.295646",1,"전남고흥 (📞 (010-6609-3322))"
"871457fe-106f-507e-9bac-3c00803ac1dd","전남 보성군 벌교읍 백천길 10-10 (척령리 433-2)","34.838247, 127.320123",1,"전남벌교 (📞 010-3622-3360)"
"97de4526-15b4-5fb2-9d3f-684ae1882ee0","전남 여수시 돌산읍 우두3길 6 (우두리 696-80)","34.724551, 127.744724",3,"전남여수동부 (📞 010-9470-5080) | 전남여수돌산 (📞 061-662-1914) | 전남여수남부 (📞 01040460479)"
"e2d48213-ab87-55ba-b86c-7b6f6772669c","전남 여수시 문수8길 31 (문수동 479-5)","34.753892, 127.693174",1,"전남여수서부 (📞 01027551341)"
"169d17a4-ee93-5006-87ab-1a3e60eb94ff","전남 여수시 여천길 30-6 (여천동 62)","34.771514, 127.665835",2,"전남여수신기 (📞 061) 686-1914) | 전남여수안산 (📞 061-686-1914)"
"ec7eeb83-4722-5093-85d5-ab62b6f41f56","8171722 長崎県対馬市上対馬町大浦冷水原 619","34.66895, 129.43837",1,"長崎県対馬市上対馬"
"37fd1e94-64d3-55b0-9006-d7f21771f7ac","전남 무안군 해제면 창매로 52-1 (천장리 541)","35.077002, 126.296839",1,"전남해제 (📞 010-9213-1211)"
"c31c4e83-6a29-560e-ac9c-00a0419b566e","전남 나주시 주면2길 8 (이창동 601)","34.997721, 126.703655",1,"전남나주남부 (📞 0613351914)"
"08fd98b7-94fc-5bbd-a874-efad274a5378","전남 함평군 학교면 학다리길 439 (사거리 621-26외 2필지)","35.021022, 126.534298",2,"전남함평 (📞 010-2284-1934 ) | 전남무안 (📞 061-452-1914)"
